,Fase,Gênero,Instituição de ensino,IAA,IEG,IPS,IDA,Matem,Portug,Inglês,IPV,IAN,Idade,IPP,Defasagem,Status_entrada,INDE
2306,2,Masculino,Pública,10.0,7.2,0.063,5.8,5.0,6.5,0.0,5.9,5.0,12.0,6.4,-1.0,0,6.539818789
2253,1,Masculino,Pública,9.5,3.6,0.075,4.8,3.5,6.0,0.0,5.0,5.0,11.0,5.8,-1.0,0,5.442610714
2254,1,Feminino,Pública,9.0,8.8,0.075,7.8,8.5,7.0,0.0,7.7,5.0,10.0,8.4,-1.0,0,7.840354762
2255,2,Masculino,Privada,8.0,9.0,0.05,6.3,7.0,5.5,0.0,7.3,10.0,11.0,6.7,0.0,0,7.479842857
2256,2,Masculino,Pública,8.5,5.9,0.075,4.3,4.5,4.0,0.0,6.7,10.0,11.0,6.7,0.0,0,6.643866667
2257,2,Feminino,Pública,7.5,8.5,0.038,6.0,5.0,7.0,0.0,7.6,5.0,13.0,7.7,-1.0,0,6.810081232
2258,2,Feminino,Privada,8.5,6.8,0.063,6.3,6.5,6.0,0.0,8.3,10.0,11.0,7.7,1.0,0,7.519866667
2259,2,Feminino,Pública,7.5,7.6,0.1,3.8,2.0,5.5,0.0,6.9,5.0,13.0,7.1,-1.0,0,6.611485714
2260,2,Feminino,Pública,0.0,6.6,0.055999999999999994,3.0,2.5,3.5,0.0,6.6,5.0,12.0,6.7,-1.0,0,4.980071429
2261,2,Masculino,Pública,9.0,8.3,0.069,4.5,3.0,6.0,0.0,7.3,10.0,10.0,7.3,0.0,0,7.336319048
2263,2,Feminino,Pública,8.5,7.8,0.063,6.5,4.5,8.5,0.0,7.7,5.0,12.0,7.5,-1.0,0,7.123485714
2264,2,Feminino,Pública,8.0,5.9,0.075,7.8,7.5,8.0,0.0,8.3,10.0,10.0,7.7,0.0,0,7.70422381
2266,2,Masculino,Pública,7.0,6.6,0.044000000000000004,4.3,2.5,6.0,0.0,4.9,5.0,14.0,4.8,-1.0,0,5.266128572
2251,1,Feminino,Pública,9.5,9.8,0.075,7.0,7.5,6.5,0.0,8.0,10.0,9.0,8.1,0.0,0,8.475080952
2241,1,Masculino,Pública,8.5,9.5,0.044000000000000004,6.0,7.0,5.0,0.0,6.7,5.0,10.0,7.0,-1.0,0,6.937586905
2235,1,Masculino,Pública,9.0,9.3,0.055999999999999994,2.3,4.5,0.0,0.0,6.6,5.0,12.0,6.9,-1.0,0,6.287171862
2236,1,Masculino,Pública,8.5,10.0,0.063,7.5,8.0,7.0,0.0,7.6,10.0,9.0,7.5,0.0,0,8.2432
2237,1,Feminino,Pública,10.0,9.3,0.063,8.5,7.5,9.5,0.0,6.8,10.0,9.0,7.1,0.0,0,8.260340693
2238,1,Masculino,Pública,7.5,9.5,0.055999999999999994,9.0,8.0,10.0,0.0,7.8,5.0,10.0,6.5,-1.0,0,7.704770175
2239,1,Masculino,Pública,9.0,9.1,0.075,7.5,8.0,7.0,0.0,7.8,10.0,9.0,7.7,0.0,0,8.302886147
2240,1,Feminino,Pública,9.5,10.0,0.075,7.8,6.5,9.0,0.0,8.0,5.0,10.0,8.3,-1.0,0,8.176533333
2242,1,Masculino,Pública,8.5,6.9,0.075,6.8,6.5,7.0,0.0,6.9,5.0,10.0,7.7,-1.0,0,6.972777381
